So Bao Danh,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,KHTN,Lich Su,Dia Ly,GDCD,KHXH
03000357,7.60,5.75,4.20,7.75,6.75,5.75,6.75,,,,
03000358,6.20,5.75,2.20,,,,,4.00,5.75,8.50,6.08
03000359,5.00,2.00,,,,,,4.00,5.50,,
03000360,7.60,5.25,4.00,7.25,7.50,5.00,6.58,,,,
03000361,8.20,6.50,4.80,6.75,6.50,4.50,5.92,,,,
03000362,5.00,3.75,,,,,,3.75,5.50,,
03000363,5.60,5.25,,,,,,3.00,6.25,,
03000364,6.40,6.50,5.80,,,,,3.75,6.75,8.25,6.25
03000365,7.00,5.75,2.80,5.50,4.00,3.00,4.17,,,,
03000366,9.20,5.25,4.40,5.75,8.25,9.50,7.83,,,,
03000367,6.60,6.00,4.20,5.25,7.00,3.75,5.33,,,,
03000368,3.60,,,,3.75,5.00,,,,,
03000369,8.40,6.75,5.40,6.25,8.75,4.75,6.58,,,,
03000370,2.60,2.00,,,,,,3.00,2.75,,
03000371,7.40,4.75,2.40,,,,,4.50,6.75,7.50,6.25
03000372,7.40,6.50,6.60,,,,,4.00,7.50,7.75,6.42
03000373,7.60,6.50,6.20,6.75,3.25,4.25,4.75,,,,
03000374,6.20,6.25,6.80,,,,,4.00,7.50,9.00,6.83
03000375,7.80,5.50,3.00,4.25,7.00,6.00,5.75,,,,
03000376,6.80,4.50,,,,,,3.75,5.25,,
03000377,6.80,5.75,5.00,,,,,5.75,5.50,9.00,6.75
03000378,8.40,5.00,4.20,6.25,5.75,3.75,5.25,,,,
03000379,6.40,6.00,5.60,,,,,6.00,7.00,8.75,7.25
03000380,7.80,5.00,5.60,6.50,6.25,4.25,5.67,,,,
03000381,6.40,5.50,3.60,,,,,3.25,7.00,7.75,6.00
03000382,4.60,3.75,,,,,,3.75,5.25,,
03000383,8.00,8.50,7.60,,,,,7.50,7.75,10.00,8.42
03000384,7.60,6.00,4.40,7.50,6.75,4.25,6.17,,,,
03000385,6.60,7.50,6.60,,,,,3.00,6.25,8.25,5.83
03000386,5.00,3.75,,,,,,3.75,5.75,,
03000387,6.40,6.00,4.80,,,,,4.75,7.25,8.50,6.83
03000388,5.80,5.75,4.80,,,,,5.75,6.00,8.50,6.75
03000390,6.20,6.00,5.60,,,,,5.25,6.00,7.75,6.33
03000391,5.00,4.00,,,,,,2.50,6.00,,
03000392,7.60,7.25,5.60,6.50,7.00,5.50,6.33,,,,
03000393,6.00,7.75,7.40,,,,,7.75,6.75,9.75,8.08
03000395,6.60,6.25,5.60,3.25,6.50,3.00,4.25,,,,
03000396,7.00,6.50,6.40,6.50,2.75,4.75,4.67,,,,
03000397,5.80,3.75,2.80,,,,,2.75,4.50,7.00,4.75
03000398,7.40,5.00,5.20,5.50,5.75,5.50,5.58,,,,
03000399,3.80,2.25,,,,,,3.00,4.25,,
03000400,6.20,4.00,,,,,,3.50,5.00,,
03000401,6.80,6.00,5.60,5.25,7.75,6.75,6.58,,,,
